,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-02 17:16:59,2026-04-02 17:16:59,20155,265.0,1581,232,3419,1333,2826,10677,2026-01-04 13:13:45,3.2.4,443778.0,8534.0,57.0,The most widely used Python to C compiler.,214551.0,214551.0,583.0,43,True,1,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-04-02 17:57:40,2026-04-02 17:57:40,27617,243.0,1211,190,4881,1658,3949,10951,2026-04-01 03:56:50,0.65.0,,,27.0,NumPy aware dynamic Python compiler using LLVM.,171509.0,171509.0,420.0,39,True,1,
2,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-04-02 11:09:47,2026-04-01 03:29:36,4171,69.0,980,136,3754,344,1452,14490,2026-01-28 09:29:54,0.29.3,1406611.0,15804.0,92.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6330.0,6330.0,301.0,37,True,1,
3,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-02 16:46:44,2026-04-02 16:44:50,16345,1196.0,1388,171,6160,287,1038,21931,,,302.0,23.0,1.0,A Python Interpreter written in Rust.,892.0,892.0,489.0,34,True,1,
4,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-04-01 04:01:25,2026-04-01 03:44:04,18287,277.0,6411,713,7676,1380,4625,21602,2025-12-09 15:06:51,1.27.0,111379.0,1070.0,25.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,16.0,16.0,726.0,33,False,2,
5,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-04-02 05:51:04,2026-04-02 05:50:52,9523,181.0,518,131,465,82,2057,6590,2025-10-11 13:24:27,3.14.0,45052.0,324.0,78.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,518.0,518.0,126.0,31,True,2,-1.0
6,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-04-02 16:39:18,2026-04-02 16:12:54,41139,316.0,1385,130,6230,854,3751,4487,2026-03-09 21:21:11,10.1.4,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,76.0,76.0,1327.0,31,False,3,
7,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-04-02 17:47:16,2026-04-02 17:47:15,32402,3849.0,2783,259,2424,647,2635,25826,2026-03-19 15:59:53,modular/v26.2.0,,,11.0,The Modular Platform (includes MAX & Mojo).,,,398.0,30,False,2,1.0
8,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-04-02 09:01:50,2026-04-02 08:54:56,14638,670.0,757,135,535,185,2604,14688,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",3714.0,3714.0,208.0,30,True,1,
9,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-03-21 13:38:29,2026-03-21 13:38:28,4479,22.0,364,112,1348,12,1141,5443,2026-01-14 17:46:09,1.2.0,1328.0,11.0,23.0,A dialect of Lisp thats embedded in Python.,813.0,813.0,183.0,27,False,2,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-02 15:18:29,2026-04-02 15:18:29,947,23.0,598,138,175,91,427,16699,2026-03-04 00:09:30,0.19.6,54837.0,1370.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,2,1.0
