,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2025-12-23 08:51:40,2025-12-23 08:51:40,19884,367.0,1575,231,3304,1315,2793,10534,2025-12-14 07:47:36,3.2.3-1,381605.0,7787.0,55.0,The most widely used Python to C compiler.,212599.0,212599.0,576,42,True,1
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2025-12-28 15:10:17,2025-12-28 15:10:17,4456,15.0,361,111,1342,10,1138,5419,2025-05-08 17:42:25,1.1.0,1291.0,11.0,22.0,A dialect of Lisp thats embedded in Python.,807.0,807.0,182,26,False,3
2,pocketpy,pocketpy/pocketpy,miscellaneous,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2025-12-31 08:24:30,2025-12-25 10:12:04,4142,100.0,161,16,199,5,203,1990,2025-12-25 09:51:34,2.1.6,5886.0,159.0,55.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,42,25,True,1
3,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,63,35,40,12,256,1053,,,,,,The Stackless Python programming language.,,,998,17,False,3
