,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-03-24 12:29:39,2026-03-24 12:29:38,20136,252.0,1582,232,3405,1331,2826,10664,2026-01-04 13:13:45,3.2.4,436282.0,8554.0,57.0,The most widely used Python to C compiler.,214385.0,214385.0,583.0,43,True,1,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-03-26 16:52:03,2026-03-26 16:49:39,27569,212.0,1213,190,4873,1660,3941,10945,2026-02-18 19:17:33,0.64.0,,,26.0,NumPy aware dynamic Python compiler using LLVM.,171141.0,171141.0,417.0,39,True,1,1.0
2,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-03-26 05:18:54,2026-03-26 05:18:54,4164,65.0,979,136,3745,343,1451,14467,2026-01-28 09:29:54,0.29.3,1386878.0,15759.0,92.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6276.0,6276.0,301.0,37,True,1,
3,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-03-26 12:46:32,2026-03-26 12:43:34,16304,1234.0,1385,171,6120,281,1036,21918,,,257.0,21.0,1.0,A Python Interpreter written in Rust.,891.0,891.0,488.0,34,True,1,1.0
4,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-03-25 13:05:26,2026-03-25 12:57:07,18285,285.0,6397,715,7662,1374,4622,21580,2025-12-09 15:06:51,1.27.0,111132.0,1078.0,25.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,16.0,16.0,726.0,33,False,2,
5,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-03-26 10:24:07,2026-03-26 10:23:42,9516,177.0,518,131,465,82,2056,6590,2025-10-11 13:24:27,3.14.0,45021.0,326.0,78.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,517.0,517.0,126.0,32,True,2,
6,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-03-24 23:54:01,2026-03-24 23:54:01,41066,255.0,1386,131,6213,850,3750,4486,2026-03-09 21:21:11,10.1.4,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,75.0,75.0,1326.0,31,False,3,
7,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-03-25 12:42:15,2026-03-25 10:14:21,14634,666.0,755,135,530,181,2601,14668,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",3697.0,3697.0,207.0,30,True,1,
8,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-03-26 06:39:43,2026-03-26 06:39:42,32035,3532.0,2774,259,2382,702,2560,25810,2026-03-19 15:59:53,modular/v26.2.0,,,11.0,The Modular Platform (includes MAX & Mojo).,,,394.0,29,False,2,
9,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-03-21 13:38:29,2026-03-21 13:38:28,4479,27.0,364,112,1348,12,1141,5451,2026-01-14 17:46:09,1.2.0,1328.0,12.0,23.0,A dialect of Lisp thats embedded in Python.,813.0,813.0,183.0,27,False,2,
