,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2025-12-11 14:35:12,2025-12-11 14:34:37,19833,394.0,1569,231,3275,1318,2784,10514,2025-11-30 11:29:09,3.2.2,364458.0,7592.0,54.0,The most widely used Python to C compiler.,212332.0,212332.0,576,42,True,1
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2025-11-21 19:07:54,2025-11-21 19:07:54,4449,8.0,361,111,1341,11,1136,5403,2025-05-08 17:42:25,1.1.0,1290.0,12.0,22.0,A dialect of Lisp thats embedded in Python.,806.0,806.0,181,25,False,3
2,pocketpy,pocketpy/pocketpy,miscellaneous,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2025-12-10 15:02:00,2025-12-10 15:00:46,4123,94.0,160,15,196,4,201,1978,2025-10-15 08:00:09,2.1.3,5740.0,159.0,54.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,42,25,True,1
3,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,63,35,40,12,256,1051,,,,,,The Stackless Python programming language.,,,998,17,False,3
