,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2025-11-27 14:08:29,2025-11-27 14:05:03,19778,365.0,1566,232,3249,1313,2781,10481,2025-11-12 18:17:40,3.2.1,359434.0,7647.0,53.0,The most widely used Python to C compiler.,211880.0,211880.0,575,42,True,1,
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2025-11-21 19:07:54,2025-11-21 19:07:54,4449,8.0,360,111,1340,11,1136,5381,2025-05-08 17:42:25,1.1.0,1286.0,12.0,22.0,A dialect of Lisp thats embedded in Python.,805.0,805.0,181,25,False,3,
2,pocketpy,pocketpy/pocketpy,miscellaneous,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2025-11-27 16:01:42,2025-11-27 16:00:19,4095,82.0,157,15,191,4,201,1972,2025-10-15 08:00:09,2.1.3,5655.0,161.0,54.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,41,25,True,1,True
3,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,62,35,40,12,256,1051,,,,,,The Stackless Python programming language.,,,998,17,False,3,
