,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,trending
0,taichi,taichi-dev/taichi,taichi,['written-in-cpp'],subsets,{},1260.0,1260.0,250.0,https://pypi.org/project/taichi,249223.0,249223.0,,12,False,1.0,
1,cython,cython/cython,,['written-in-python'],supersets,{},217325.0,217325.0,600.0,,,,,10,False,1.0,
2,numba,numba/numba,,['written-in-python'],subsets,{},177434.0,177434.0,444.0,,,,,10,False,2.0,
3,pyodide,pyodide/pyodide,,['written-in-c'],implemented-in-other-languages,{},6987.0,6987.0,309.0,,,,,8,False,1.0,
4,nuitka,Nuitka/Nuitka,,['written-in-python'],compilers,{},4004.0,4004.0,212.0,,,,,8,False,1.0,
5,rustpython,RustPython/RustPython,,['written-in-rust'],implemented-in-other-languages,{},896.0,896.0,526.0,,,,,7,False,1.0,
6,voc,beeware/voc,voc,['written-in-python'],compilers,{},184.0,184.0,209.0,https://pypi.org/project/voc,213.0,213.0,,7,False,2.0,
7,hy,hylang/hy,,['written-in-python'],supersets,{},821.0,821.0,185.0,,,,,6,False,1.0,
8,circuitpython,adafruit/circuitpython,,['written-in-c'],subsets,{},81.0,81.0,1349.0,,,,,6,False,2.0,
9,pythran,serge-sans-paille/pythran,,['written-in-cpp'],subsets,{},3706.0,3706.0,78.0,,,,,6,False,2.0,
10,pyccel,pyccel/pyccel,pyccel,['written-in-python'],compilers,{},37.0,37.0,53.0,https://pypi.org/project/pyccel,7124.0,7124.0,,6,False,2.0,
11,skulpt,skulpt/skulpt,,['written-in-javascript'],implemented-in-other-languages,{},255.0,255.0,117.0,,,,,5,False,2.0,
12,transcrypt,TranscryptOrg/Transcrypt,,['written-in-python'],implemented-in-other-languages,{},477.0,477.0,37.0,,,,,5,False,2.0,
13,brython,brython-dev/brython,,['written-in-javascript'],implemented-in-other-languages,{},523.0,523.0,129.0,,,,,5,False,2.0,
14,gpython,go-python/gpython,,['written-in-go'],implemented-in-other-languages,{},253.0,253.0,24.0,,,,,5,False,2.0,
15,micropython,micropython/micropython,,['written-in-c'],subsets,{},20.0,20.0,760.0,,,,,4,False,3.0,
16,monty,pydantic/monty,,['written-in-rust'],implemented-in-other-languages,{},44.0,44.0,46.0,,,,,4,False,2.0,1.0
17,rapydscript,atsepkov/RapydScript,,['written-in-javascript'],supersets,{},82.0,82.0,15.0,,,,,3,False,2.0,
18,batavia,beeware/batavia,,['written-in-javascript'],implemented-in-other-languages,{},6.0,6.0,222.0,,,,,3,False,3.0,
