,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-04-23 09:34:00,2026-04-23 09:33:57,20188,234.0,1582,231,3443,1335,2828,10700,2026-01-04 13:13:45,3.2.4,464541.0,8933.0,57.0,The most widely used Python to C compiler.,214964.0,214964.0,585.0,43,True,1,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-04-23 14:41:25,2026-04-22 22:02:11,27740,324.0,1224,190,4920,1666,3955,10983,2026-04-01 03:56:50,0.65.0,,,27.0,NumPy aware dynamic Python compiler using LLVM.,172337.0,172337.0,425.0,39,True,1,
2,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-04-23 00:06:26,2026-04-23 00:06:26,4230,110.0,984,136,3792,342,1460,14544,2026-01-28 09:29:54,0.29.3,1466639.0,16479.0,93.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6439.0,6439.0,303.0,37,True,1,
3,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-04-23 18:16:08,2026-04-23 17:01:17,16430,966.0,1400,172,6257,283,1052,22024,,,679.0,52.0,1.0,A Python Interpreter written in Rust.,893.0,893.0,492.0,34,True,1,
4,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-04-20 13:16:57,2026-04-20 13:14:45,18358,304.0,6428,713,7749,1388,4650,21649,2026-04-06 13:41:40,1.28.0,112331.0,1080.0,26.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,16.0,16.0,728.0,33,False,2,
5,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-04-20 21:07:56,2026-04-20 21:07:48,9545,172.0,519,131,465,83,2058,6590,2025-10-11 13:24:27,3.14.0,45365.0,326.0,78.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,518.0,518.0,126.0,31,True,2,
6,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-04-23 16:47:54,2026-04-23 16:47:53,41236,401.0,1392,132,6262,860,3761,4503,2026-04-22 18:35:18,10.2.0,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,77.0,77.0,1331.0,31,False,3,
7,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-04-23 18:14:57,2026-04-23 18:14:56,33325,4079.0,2790,257,2469,685,2659,25899,2026-03-19 15:59:53,modular/v26.2.0,,,11.0,The Modular Platform (includes MAX & Mojo).,,,401.0,30,False,2,
8,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-04-23 10:39:31,2026-04-23 10:39:31,14648,680.0,757,136,542,197,2605,14764,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",3755.0,3755.0,208.0,30,True,1,
9,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-04-19 13:53:59,2026-04-19 13:53:59,4482,14.0,367,114,1356,13,1142,5412,2026-01-14 17:46:09,1.2.0,1334.0,12.0,23.0,A dialect of Lisp thats embedded in Python.,816.0,816.0,183.0,27,False,2,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-04-21 18:29:41,2026-04-11 17:29:27,949,19.0,599,137,177,92,430,16729,2026-03-04 00:09:30,0.19.6,55511.0,1387.0,20.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,21.0,26,True,2,
11,graalpython,oracle/graalpython,['written-in-java'],implemented-in-other-languages,https://github.com/oracle/graalpython,https://github.com/oracle/graalpython,,2018-04-17 09:54:59,2026-04-22 22:38:57,2026-04-22 21:20:03,26946,550.0,149,57,253,61,433,1582,2026-01-20 14:11:31,graal-25.0.2,688803.0,7250.0,61.0,GraalPy A high-performance embeddable Python 3 runtime for Java.,,,86.0,26,False,2,
12,ironpython,IronLanguages/ironpython3,['written-in-csharp'],implemented-in-other-languages,https://github.com/IronLanguages/ironpython3,https://github.com/IronLanguages/ironpython3,Apache-2.0,2014-02-27 21:50:49,2026-04-12 01:50:37,2026-04-12 01:50:37,1462,42.0,308,132,1308,295,368,2737,2024-12-20 01:50:55,3.4.2,166200.0,2770.0,5.0,Implementation of Python 3.x for .NET Framework that is built on top of the Dynamic Language Runtime.,,,39.0,25,True,2,
13,pythran,serge-sans-paille/pythran,['written-in-cpp'],subsets,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14,2026-04-21 21:01:38,2026-04-21 21:01:38,3938,36.0,199,45,1497,136,796,2125,,,,,,Ahead of Time compiler for numeric kernels.,3672.0,3672.0,77.0,25,True,3,
14,pocketpy,pocketpy/pocketpy,['written-in-cpp'],implemented-in-other-languages,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2026-04-23 03:07:53,2026-04-23 03:06:38,4230,51.0,210,16,232,7,247,2050,2026-03-18 07:11:24,2.1.8,6397.0,159.0,56.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,51.0,25,True,2,
15,monty,pydantic/monty,['written-in-rust'],implemented-in-other-languages,https://github.com/pydantic/monty,https://github.com/pydantic/monty,MIT,2023-05-28 11:13:38,2026-04-22 19:26:54,2026-04-22 19:25:05,430,203.0,298,40,295,56,36,6961,2026-04-22 19:26:55,0.0.17,,,17.0,"A minimal, secure Python interpreter written in Rust for use by AI.",8.0,8.0,34.0,24,True,3,
16,transcrypt,TranscryptOrg/Transcrypt,['written-in-python'],implemented-in-other-languages,https://github.com/TranscryptOrg/Transcrypt,https://github.com/TranscryptOrg/Transcrypt,Apache-2.0,2015-12-13 12:39:17,2025-06-16 08:04:28,2025-06-01 21:03:31,1239,,216,81,176,178,536,2915,2025-05-23 20:52:13,3.9.4,,,30.0,"Python 3.9 to JavaScript compiler - Lean, fast, open!.",474.0,474.0,37.0,24,True,3,4.0
17,skulpt,skulpt/skulpt,['written-in-javascript'],implemented-in-other-languages,https://github.com/skulpt/skulpt,https://github.com/skulpt/skulpt,,2012-05-31 20:13:13,2026-03-12 02:22:25,2026-03-12 02:22:25,5675,2.0,849,99,850,239,507,3395,2021-02-28 13:19:08,1.3.0,,,3.0,Skulpt is a Javascript implementation of the Python programming language.,251.0,251.0,117.0,22,False,3,
