,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2025-10-21 05:44:24,2025-10-21 05:44:24,19589,270.0,1550,235,3168,1302,2750,10369,2025-10-19 20:18:49,3.1.5,521022.0,11326.0,45.0,The most widely used Python to C compiler.,211131.0,211131.0,569,43,True,1,True
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2025-06-24 13:45:11,2025-06-24 13:45:11,4441,,358,116,1338,11,1135,5315,2025-05-08 17:42:25,1.1.0,1279.0,12.0,22.0,A dialect of Lisp thats embedded in Python.,804.0,804.0,181,25,False,3,True
2,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,62,36,40,12,256,1051,,,,,,The Stackless Python programming language.,,,999,17,False,3,True
