,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,monthly_downloads
18,batavia,beeware/batavia,['written-in-javascript'],implemented-in-other-languages,{},6.0,6.0,222.0,,3,False,2.0,,,,,
19,x-python,rocky/x-python,['written-in-python'],implemented-in-other-languages,{},4.0,4.0,12.0,,3,False,2.0,,x-python,https://pypi.org/project/x-python,401.0,401.0
20,cinder,facebookincubator/cinder,['written-in-c'],cpython-forks,{},2.0,2.0,3312.0,,3,False,1.0,,,,,
21,pyjion,tonybaloney/Pyjion,['written-in-cpp'],cpython-forks,{},16.0,16.0,34.0,,3,False,1.0,,,,,
22,nogil,colesbury/nogil,['written-in-c'],cpython-forks,{},,,1397.0,,3,False,1.0,,,,,
23,mojo,modular/modular,['written-in-mojo'],supersets,{},,,434.0,,2,False,2.0,,,,,
24,basilisp,basilisp-lang/basilisp,['written-in-python'],supersets,{},38.0,38.0,10.0,,2,False,2.0,,,,,
25,stackless,stackless-dev/stackless,['written-in-c'],supersets,{},,,1002.0,,2,False,2.0,,,,,
26,bython,mathialo/bython,['written-in-python'],supersets,{},24.0,24.0,2.0,,2,False,2.0,,bython,https://pypi.org/project/bython,120.0,120.0
27,rapydscript-ng,kovidgoyal/rapydscript-ng,['written-in-javascript'],supersets,{},17.0,17.0,13.0,,2,False,2.0,,,,,
28,pycopy,pfalcon/pycopy,['written-in-c'],subsets,{},,,413.0,,2,False,3.0,,,,,
29,pypy,pypy/pypy,['written-in-python'],implemented-in-other-languages,{},,,399.0,,2,False,3.0,,,,,
30,starlark-go,google/starlark-go,['written-in-go'],implemented-in-other-languages,{},3.0,3.0,85.0,,2,False,3.0,,,,,
31,py2many,py2many/py2many,['written-in-python'],compilers,{},36.0,36.0,20.0,,2,False,2.0,,,,,
32,py2wasm,wasmerio/py2wasm,['written-in-python'],compilers,{},,,170.0,"A Python to WebAssembly (Wasm) compiler, based on Nuitka.",2,False,2.0,,,,,
33,pyston,pyston/pyston,['written-in-c'],cpython-forks,{},,,1039.0,,2,False,3.0,,,,,
34,coconut,evhub/coconut,['written-in-python'],supersets,{},,,38.0,,1,False,3.0,,,,,
35,mochi,i2y/mochi,['written-in-python'],supersets,{},6.0,6.0,11.0,,1,False,3.0,,,,,
36,dg,pyos/dg,['written-in-python'],supersets,{},10.0,10.0,2.0,,1,False,3.0,,,,,
37,hissp,gilch/hissp,['written-in-python'],supersets,{},6.0,6.0,3.0,,1,False,3.0,,,,,
38,starlark,bazelbuild/starlark,['written-in-go'],subsets,{},,,32.0,,1,False,3.0,,,,,
