,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-01-29 14:39:15,2026-01-29 14:38:55,19975,329.0,1578,231,3335,1319,2805,10587,2026-01-04 13:13:45,3.2.4,398741.0,8137.0,57.0,The most widely used Python to C compiler.,213216.0,213216.0,580,43,True,1,1.0
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-01-14 17:57:46,2026-01-14 17:57:40,4468,27.0,360,111,1344,10,1138,5438,2026-01-14 17:46:09,1.2.0,1316.0,12.0,23.0,A dialect of Lisp thats embedded in Python.,808.0,808.0,182,27,False,3,
2,pocketpy,pocketpy/pocketpy,miscellaneous,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2026-01-26 09:51:09,2026-01-26 09:50:03,4181,123.0,167,16,203,16,225,2008,2025-12-25 09:51:34,2.1.6,6062.0,163.0,55.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,43,25,True,1,
3,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,64,35,40,12,256,1051,,,,,,The Stackless Python programming language.,,,997,17,False,3,
