,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,trending
15,micropython,micropython/micropython,,['written-in-c'],subsets,{},20.0,20.0,759.0,,,,,4,False,3.0,
16,rapydscript,atsepkov/RapydScript,,['written-in-javascript'],supersets,{},82.0,82.0,15.0,,,,,3,False,2.0,
17,monty,pydantic/monty,,['written-in-rust'],implemented-in-other-languages,{},41.0,41.0,44.0,,,,,3,False,2.0,
18,batavia,beeware/batavia,,['written-in-javascript'],implemented-in-other-languages,{},6.0,6.0,222.0,,,,,3,False,2.0,
19,x-python,rocky/x-python,x-python,['written-in-python'],implemented-in-other-languages,{},4.0,4.0,12.0,https://pypi.org/project/x-python,215.0,215.0,,3,False,2.0,
20,cinder,facebookincubator/cinder,,['written-in-c'],cpython-forks,{},2.0,2.0,3312.0,,,,,3,False,1.0,
21,pyjion,tonybaloney/Pyjion,,['written-in-cpp'],cpython-forks,{},16.0,16.0,34.0,,,,,3,False,1.0,
22,nogil,colesbury/nogil,,['written-in-c'],cpython-forks,{},,,1397.0,,,,,3,False,1.0,
23,mojo,modular/modular,,['written-in-mojo'],supersets,{},,,441.0,,,,,2,False,2.0,
24,stackless,stackless-dev/stackless,,['written-in-c'],supersets,{},,,1002.0,,,,,2,False,2.0,
25,bython,mathialo/bython,bython,['written-in-python'],supersets,{},24.0,24.0,2.0,https://pypi.org/project/bython,106.0,106.0,,2,False,2.0,1.0
26,rapydscript-ng,kovidgoyal/rapydscript-ng,,['written-in-javascript'],supersets,{},17.0,17.0,13.0,,,,,2,False,2.0,
27,pycopy,pfalcon/pycopy,,['written-in-c'],subsets,{},,,413.0,,,,,2,False,3.0,
28,pypy,pypy/pypy,,['written-in-python'],implemented-in-other-languages,{},,,400.0,,,,,2,False,3.0,
29,starlark-go,google/starlark-go,,['written-in-go'],implemented-in-other-languages,{},3.0,3.0,85.0,,,,,2,False,3.0,
30,py2many,py2many/py2many,,['written-in-python'],compilers,{},36.0,36.0,20.0,,,,,2,False,2.0,
31,py2wasm,wasmerio/py2wasm,,['written-in-python'],compilers,{},,,170.0,,,,"A Python to WebAssembly (Wasm) compiler, based on Nuitka.",2,False,2.0,
32,pyston,pyston/pyston,,['written-in-c'],cpython-forks,{},,,1039.0,,,,,2,False,3.0,
33,coconut,evhub/coconut,,['written-in-python'],supersets,{},,,38.0,,,,,1,False,3.0,
34,mochi,i2y/mochi,,['written-in-python'],supersets,{},6.0,6.0,11.0,,,,,1,False,3.0,
35,dg,pyos/dg,,['written-in-python'],supersets,{},10.0,10.0,2.0,,,,,1,False,3.0,
36,hissp,gilch/hissp,,['written-in-python'],supersets,{},6.0,6.0,4.0,,,,,1,False,3.0,
37,starlark,bazelbuild/starlark,,['written-in-go'],subsets,{},,,32.0,,,,,1,False,3.0,
38,erg,erg-lang/erg,,['written-in-rust'],implemented-in-other-languages,{},1.0,1.0,25.0,,,,,1,False,3.0,
39,jython,jython/jython,,['written-in-java'],implemented-in-other-languages,{},,,94.0,,,,,1,False,3.0,
40,graalpython,oracle/graalpython,,['written-in-java'],implemented-in-other-languages,{},,,90.0,,,,,1,False,3.0,
41,ironpython,IronLanguages/ironpython3,,['written-in-csharp'],implemented-in-other-languages,{},,,40.0,,,,,1,False,3.0,
42,pocketpy,pocketpy/pocketpy,,['written-in-cpp'],implemented-in-other-languages,{},2.0,2.0,57.0,,,,,1,False,3.0,
43,starlark-rust,facebook/starlark-rust,,['written-in-rust'],implemented-in-other-languages,{},,,131.0,,,,,1,False,3.0,
44,codon,exaloop/codon,,['written-in-cpp'],compilers,{},,,21.0,,,,,1,False,3.0,
45,shedskin,shedskin/shedskin,,['written-in-python'],compilers,{},,,28.0,,,,,1,False,3.0,
46,lpython,lcompilers/lpython,,['written-in-cpp'],compilers,{},,,80.0,,,,,1,False,3.0,
47,pytago,nottheswimmer/pytago,,['written-in-python'],compilers,{},3.0,3.0,6.0,,,,,1,False,3.0,
48,skybison,tekknolagi/skybison,,['written-in-cpp'],cpython-forks,{},,,90.0,,,,,1,False,3.0,
49,basilisp,basilisp-lang/basilisp,,['written-in-python'],supersets,{},,,10.0,,,,,0,False,,-2.0
50,mingshe,abersheeran/mingshe,mingshe,['written-in-python'],supersets,{},2.0,2.0,2.0,https://pypi.org/project/mingshe,68.0,68.0,,0,False,,
51,violet,LiarPrincess/Violet,,['written-in-swift'],implemented-in-other-languages,{},,,3.0,,,,,0,False,,
52,osmium,Rexicon226/osmium,,['written-in-zig'],implemented-in-other-languages,{},,,,,,,,0,False,,
53,cl-python,metawilm/cl-python,,,implemented-in-other-languages,{},,,12.0,,,,,0,False,,
54,edge-python,dylan-sutton-chavez/edge-python,,['written-in-rust'],implemented-in-other-languages,{},,,,,,,,0,False,,
55,minipy,xupingmao/minipy,,['written-in-c'],implemented-in-other-languages,{},,,7.0,,,,,0,False,,
56,mypyc,mypyc/mypyc,,['written-in-python'],compilers,{},,,20.0,,,,,0,False,,
57,prometeo,zanellia/prometeo,,['written-in-python'],compilers,{},2.0,2.0,6.0,,,,,0,False,,
58,pytocs,uxmal/pytocs,,['written-in-csharp'],compilers,{},,,11.0,,,,,0,False,,
59,rusthon,rusthon/Rusthon,,['written-in-python'],compilers,{},,,14.0,,,,,0,False,,
60,kuroko,kuroko-lang/kuroko,,['written-in-c'],supersets,{},,,2.0,,,,,-1,False,3.0,
61,makrell,hcholm/makrell-py,,['written-in-python'],supersets,{},2.0,2.0,2.0,,,,,-1,False,3.0,
62,pytra,yaneurao/Pytra,,['written-in-python'],compilers,{},,,2.0,,,,,-1,False,3.0,
