,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,cython,cython/cython,supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-01-05 23:39:54,2026-01-05 23:39:54,19910,381.0,1577,231,3310,1315,2796,10546,2026-01-04 13:13:45,3.2.4,378554.0,7725.0,57.0,The most widely used Python to C compiler.,212750.0,212750.0,577,42,True,1
1,hy,hylang/hy,supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2025-12-28 15:10:17,2025-12-28 15:10:17,4456,15.0,360,111,1343,10,1138,5426,2025-05-08 17:42:25,1.1.0,1293.0,11.0,22.0,A dialect of Lisp thats embedded in Python.,807.0,807.0,182,26,False,3
2,pocketpy,pocketpy/pocketpy,miscellaneous,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2026-01-08 07:33:17,2026-01-08 07:32:08,4176,130.0,163,16,202,4,205,1992,2025-12-25 09:51:34,2.1.6,5903.0,159.0,55.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,43,25,True,1
3,stackless,stackless-dev/stackless,supersets,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10,2025-02-13 14:11:16,2025-02-13 14:11:16,106030,,63,35,40,12,256,1053,,,,,,The Stackless Python programming language.,,,998,17,False,3
