,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads
30,starlark-go,google/starlark-go,['written-in-go'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,86.0,2,False,3.0,,,3.0,3.0,,
31,py2many,py2many/py2many,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,20.0,2,False,2.0,,,36.0,36.0,,
32,py2wasm,wasmerio/py2wasm,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,"A Python to WebAssembly (Wasm) compiler, based on Nuitka.",170.0,2,False,2.0,,,,,,
33,pyston,pyston/pyston,['written-in-c'],cpython-forks,,{},,,,,,,,,,,,,,,,,1039.0,2,False,3.0,,,,,,
34,coconut,evhub/coconut,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,38.0,1,False,3.0,,,,,,
35,mochi,i2y/mochi,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,11.0,1,False,3.0,,,6.0,6.0,,
36,dg,pyos/dg,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,2.0,1,False,3.0,,,10.0,10.0,,
37,hissp,gilch/hissp,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,4.0,1,False,3.0,,,6.0,6.0,,
38,starlark,bazelbuild/starlark,['written-in-go'],subsets,,{},,,,,,,,,,,,,,,,,32.0,1,False,3.0,,,,,,
39,erg,erg-lang/erg,['written-in-rust'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,25.0,1,False,3.0,,,1.0,1.0,,
40,jython,jython/jython,['written-in-java'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,94.0,1,False,3.0,,,,,,
41,graalpython,oracle/graalpython,['written-in-java'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,90.0,1,False,3.0,,,,,,
42,ironpython,IronLanguages/ironpython3,['written-in-csharp'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,42.0,1,False,3.0,,,,,,
43,pocketpy,pocketpy/pocketpy,['written-in-cpp'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,57.0,1,False,3.0,,,2.0,2.0,,
44,starlark-rust,facebook/starlark-rust,['written-in-rust'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,132.0,1,False,3.0,,,,,,
45,codon,exaloop/codon,['written-in-cpp'],compilers,,{},,,,,,,,,,,,,,,,,22.0,1,False,3.0,,,,,,
46,shedskin,shedskin/shedskin,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,28.0,1,False,3.0,,,,,,
47,lpython,lcompilers/lpython,['written-in-cpp'],compilers,,{},,,,,,,,,,,,,,,,,80.0,1,False,3.0,,,,,,
48,pytago,nottheswimmer/pytago,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,6.0,1,False,3.0,,,3.0,3.0,,
49,skybison,tekknolagi/skybison,['written-in-cpp'],cpython-forks,,{},,,,,,,,,,,,,,,,,90.0,1,False,3.0,,,,,,
50,mingshe,abersheeran/mingshe,['written-in-python'],supersets,,{},,,,,,,,,,,,,,36.0,,,2.0,0,False,,,mingshe,2.0,2.0,https://pypi.org/project/mingshe,36.0
51,violet,LiarPrincess/Violet,['written-in-swift'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,3.0,0,False,,,,,,,
52,osmium,Rexicon226/osmium,['written-in-zig'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,,0,False,,,,,,,
