,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,cython,cython/cython,['written-in-python'],supersets,https://github.com/cython/cython,https://github.com/cython/cython,Apache-2.0,2010-11-21 07:44:20,2026-02-05 11:17:38,2026-02-05 11:17:25,19987,325.0,1578,231,3344,1325,2805,10603,2026-01-04 13:13:45,3.2.4,404753.0,8095.0,57.0,The most widely used Python to C compiler.,213373.0,213373.0,581.0,42,True,1,
1,numba,numba/numba,['written-in-python'],subsets,https://github.com/numba/numba,https://github.com/numba/numba,BSD-2-Clause,2012-03-08 11:12:43,2026-02-04 17:12:07,2026-02-03 19:56:00,27435,143.0,1196,190,4819,1651,3931,10885,2025-12-10 03:01:26,0.63.1,,,25.0,NumPy aware dynamic Python compiler using LLVM.,169099.0,169099.0,411.0,38,True,1,
2,pyodide,pyodide/pyodide,['written-in-c'],implemented-in-other-languages,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide,MPL-2.0,2018-02-23 19:21:29,2026-01-29 15:53:10,2026-01-29 15:53:10,4130,57.0,968,137,3698,342,1447,14194,2026-01-28 09:29:54,0.29.3,1275513.0,14661.0,92.0,Pyodide is a Python distribution for the browser and Node.js based on WebAssembly.,6033.0,6033.0,298.0,37,True,1,
3,rustpython,RustPython/RustPython,['written-in-rust'],implemented-in-other-languages,https://github.com/RustPython/RustPython,https://github.com/RustPython/RustPython,MIT,2018-05-28 19:27:01,2026-02-05 16:14:55,2026-02-05 16:14:55,15713,918.0,1372,172,5651,275,1020,21756,,,1675.0,119.0,43.0,A Python Interpreter written in Rust.,891.0,891.0,479.0,35,True,1,1.0
4,micropython,micropython/micropython,['written-in-c'],subsets,https://github.com/micropython/micropython,https://github.com/micropython/micropython,,2013-12-20 11:47:07,2026-02-05 13:21:04,2026-02-05 13:19:48,18124,270.0,6355,713,7538,1379,4571,21432,2025-12-09 15:06:51,1.27.0,109507.0,1073.0,25.0,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,16.0,16.0,715.0,33,False,2,
5,brython,brython-dev/brython,['written-in-javascript'],implemented-in-other-languages,https://github.com/brython-dev/brython,https://github.com/brython-dev/brython,BSD-3-Clause,2014-09-15 06:58:21,2026-02-04 12:42:53,2026-02-04 12:42:53,9316,89.0,518,132,464,80,2047,6577,2025-10-11 13:24:27,3.14.0,44916.0,327.0,78.0,Brython (Browser Python) is an implementation of Python 3 running in the browser.,516.0,516.0,126.0,32,True,2,
6,nuitka,Nuitka/Nuitka,['written-in-python'],compilers,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33,2026-02-05 18:27:02,2026-02-05 15:24:48,14393,425.0,748,136,502,182,2548,14478,,,,,,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",3601.0,3601.0,202.0,30,True,1,
7,circuitpython,adafruit/circuitpython,['written-in-c'],subsets,https://github.com/adafruit/circuitpython,https://github.com/adafruit/circuitpython,,2016-08-20 20:10:40,2026-02-05 14:35:58,2026-02-05 14:35:58,40857,124.0,1375,130,6153,853,3712,4468,2025-10-17 19:35:48,10.0.3,,,100.0,CircuitPython - a Python implementation for teaching coding with microcontrollers.,72.0,72.0,1318.0,30,False,3,
8,mojo,modular/modular,['written-in-mojo'],supersets,https://github.com/modular/modular,https://github.com/modular/modular,,2023-04-28 22:17:24,2026-02-05 06:38:09,2026-02-05 06:38:08,29726,2652.0,2762,257,2112,707,2452,25537,2026-01-29 18:21:09,modular/v26.1.0,,,10.0,The Modular Platform (includes MAX & Mojo).,,,365.0,29,False,2,
9,hy,hylang/hy,['written-in-python'],supersets,https://github.com/hylang/hy,https://github.com/hylang/hy,,2012-12-15 21:20:51,2026-01-14 17:57:46,2026-01-14 17:57:40,4468,27.0,361,112,1344,10,1138,5442,2026-01-14 17:46:09,1.2.0,1316.0,12.0,23.0,A dialect of Lisp thats embedded in Python.,808.0,808.0,182.0,27,False,2,
10,codon,exaloop/codon,['written-in-cpp'],compilers,https://github.com/exaloop/codon,https://github.com/exaloop/codon,Apache-2.0,2021-09-27 17:56:34,2026-02-05 16:51:02,2026-01-23 20:27:22,930,11.0,589,138,160,75,418,16595,2025-11-27 23:32:25,0.19.4,53437.0,1406.0,18.0,"A high-performance, zero-overhead, extensible Python compiler with built-in NumPy support.",,,19.0,25,True,2,
11,pythran,serge-sans-paille/pythran,['written-in-cpp'],subsets,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14,2026-01-30 16:42:35,2026-01-30 16:42:34,3904,34.0,199,45,1475,138,789,2118,,,,,,Ahead of Time compiler for numeric kernels.,3640.0,3640.0,76.0,25,True,3,
12,pocketpy,pocketpy/pocketpy,['written-in-cpp'],implemented-in-other-languages,https://github.com/pocketpy/pocketpy,https://github.com/pocketpy/pocketpy,MIT,2022-11-06 04:17:25,2026-02-05 03:34:43,2026-02-05 03:33:22,4189,129.0,169,16,204,8,236,2011,2025-12-25 09:51:34,2.1.6,6098.0,160.0,55.0,Portable Python 3.x Interpreter in Modern C for Game Scripting.,,,44.0,25,True,2,
13,graalpython,oracle/graalpython,['written-in-java'],implemented-in-other-languages,https://github.com/oracle/graalpython,https://github.com/oracle/graalpython,,2018-04-17 09:54:59,2026-02-05 14:11:09,2026-02-04 16:56:09,26465,611.0,140,57,137,58,424,1549,2026-01-20 14:11:31,graal-25.0.2,638063.0,6860.0,61.0,GraalPy A high-performance embeddable Python 3 runtime for Java.,,,85.0,25,False,2,
14,transcrypt,TranscryptOrg/Transcrypt,['written-in-python'],implemented-in-other-languages,https://github.com/TranscryptOrg/Transcrypt,https://github.com/TranscryptOrg/Transcrypt,Apache-2.0,2015-12-13 12:39:17,2025-06-16 08:04:28,2025-06-01 21:03:31,1239,,216,81,176,177,537,2912,2025-05-23 20:52:13,3.9.4,,,30.0,"Python 3.9 to JavaScript compiler - Lean, fast, open!.",472.0,472.0,37.0,24,True,2,
